Chp_Code	Chapter_Name	sec_code	part_code
1	Governor and Council of Ministers and their Portfolios	Admin_Stru	SS
1	Haryana Subordinate Services Selection Board	Admin_Stru	SS
2	State Planning Board, Haryana	Admin_Stru	SS
3	Judges of Punjab and Haryana High Court	Admin_Stru	SS
4	Public Service Commission, Haryana	Admin_Stru	SS
5	Haryana Staff Selection Commission	Admin_Stru	SS
6	Universities and their Vice-Chancellors in Haryana	Admin_Stru	SS
7	Commissioners and Deputy Commissioners in Haryana	Admin_Stru	SS
8	Divisions, Sub-Divisions, Districts, Tahsils, Sub- Tahsils and Blocks in Haryana	Admin_Stru	SS
1	Classification of area in Haryana	Agricultre	ES
2	Total area and classification of area in India	Agricultre	ES
3	Districtwise number and area of Operational Holdings by size in Haryana	Agricultre	ES
4	Number and area of Operational Holdings by Ownership in Haryana	Agricultre	ES
5	Statewise number and area of Operational Holdings in India	Agricultre	ES
6	Area and production of Foodgrains in Haryana	Agricultre	ES
7	Area, production and average yield per hectare of principal crops in Haryana	Agricultre	ES
8	Area under high yielding varieties of Foodgrains in Haryana	Agricultre	ES
9	Area under fruit and vegetables in Haryana.	Agricultre	ES
10	Districtwise percentage distribution of principal crops in Haryana.	Agricultre	ES
11	Various Index Numbers relating to Agriculture in Haryana	Agricultre	ES
12	Index Number of area under Crops in Haryana	Agricultre	ES
13	Index of agricultural production in Haryana	Agricultre	ES
14	Area under principal crops-Comparative position with other States	Agricultre	ES
15	Production of principal crops in India by States	Agricultre	ES
16	Average yield of important crops in India by States.	Agricultre	ES
17	Fertilizer consumption in Haryana(Nutrients)	Agricultre	ES
18	Consumption of pesticides in Haryana (Technical Grade)	Agricultre	ES
19	Districtwise consumption of pesticides (Technical Grade)	Agricultre	ES
20	Agricultural Machinery and implements in Haryana	Agricultre	ES
21	Number of Tractors in Haryana	Agricultre	ES
22	Number of villages repartitioned in Haryana	Agricultre	ES
23	Area repartitioned in Haryana	Agricultre	ES
24	Receipt and distribution of fertilizers in Haryana	Agricultre	ES
25	Incidence of Land Revenue assessment on area in Haryana (District-wise)	Agricultre	ES
26	Sample households engaged in cultivation in Haryana	Agricultre	ES
27	Index Number of Agricultural Production in Haryana and India	Agricultre	ES
30	Land not available for cultivation (Districtwise)	Agricultre	ES
31	Other uncultivated Land excluding fallow land (Districtwise)	Agricultre	ES
32	Fallow land (district-wise)	Agricultre	ES
33	Net Area Sown (District-wise)	Agricultre	ES
34	Net Area Sown more than once (District-wise)	Agricultre	ES
35	Total Cropped Area (District-wise)	Agricultre	ES
36	Number of Equipments used in livestock Sector	Agricultre	ES
37	Area and production of Fruit Crops	Agricultre	ES
38	Area and production of Vegitable Crops	Agricultre	ES
39	Area and production of Spices Crops	Agricultre	ES
40	Area and production of Medicinal Crops	Agricultre	ES
41	Area and production of Mushroom Crops	Agricultre	ES
42	Area and production of Flower Crops	Agricultre	ES
1	Livestock and Poultry in Haryana.	Animal_Hus	ES
2	Cattle in Haryana.	Animal_Hus	ES
3	Buffaloes in Haryana.	Animal_Hus	ES
4	Horses & Ponies in Haryana.	Animal_Hus	ES
6	Donkeys and Mules in Haryana.	Animal_Hus	ES
7	Sheep in Haryana	Animal_Hus	ES
8	Goats, Camels and Pigs in Haryana	Animal_Hus	ES
9	Fowls, Ducks, Turkeys and other Poultry in Haryana.	Animal_Hus	ES
10	Number of Cattle and Poultry in Haryana per square Kilometer	Animal_Hus	ES
11	Number of Cattle and Poultry in Haryana per thousand human beings	Animal_Hus	ES
12	Number of Livestock and Poultry in various States of India.	Animal_Hus	ES
13	Working Cattle in various States of India.	Animal_Hus	ES
14	Veterinary Institution functioning	Animal_Hus	ES
15	Staff of Veterinary Institutions in Haryana	Animal_Hus	ES
16	Work done in Veterinary Institutions in Haryana	Animal_Hus	ES
17	Mortality amongst livestock due to contagious diseases in Haryana	Animal_Hus	ES
18	Number of bulls kept in Artificial Insemination Centres and the work done under A.I. Scheme in Haryana	Animal_Hus	ES
19	Intensive Cattle Development Projects in Haryana	Animal_Hus	ES
20	Development of Gaushalas and cattle catching operations in Haryana	Animal_Hus	ES
21	Number of Recognised Slaughter Houses and Livestock slaughtered therein in Haryana	Animal_Hus	ES
22	Number of Government Poultry Farms in Haryana	Animal_Hus	ES
23	Poultry birds in Government Poultry Farms in Haryana	Animal_Hus	ES
24	Egg production in Government Poultry Farms in Haryana.	Animal_Hus	ES
25	Procurement of Milk, number of Milk Plants and Milk Chilling Centres in Haryana	Animal_Hus	ES
26	Estimated production of milk and per capita availability of milk per day in Haryana	Animal_Hus	ES
27	Livestock Development Centres in Haryana	Animal_Hus	ES
28	Puregersey Breeding Units & gersoy cross Breeding Schemes	Animal_Hus	ES
29	Agricultural Machinery and Implements	Animal_Hus	ES
30	Pigs in the State	Animal_Hus	ES
1	Area and Population of Haryana	Area_Popul	SS
2	Growth of Total Population in Haryana	Area_Popul	SS
3	Increase in population since ……. by districts	Area_Popul	SS
4	Number of Villages and Towns in Haryana in ……... and ……… Census	Area_Popul	SS
5	Area and population by districts	Area_Popul	SS
6	Rural and Urban Population by Sex- Districtwise	Area_Popul	SS
7	Tahsil-wise Population and No. of Village and Towns in Haryana	Area_Popul	SS
8	Blockwise Population and Number of Villages ……….. Census	Area_Popul	SS
9	Number of Household and Persons per household in Haryana ……….. Census	Area_Popul	SS
10	Number of uses of Census houses in Haryana:……..	Area_Popul	SS
11	Villages classified by various population ranges in Haryana ……….	Area_Popul	SS
12	Towns classified by various population ranges in Haryana	Area_Popul	SS
13	Area, population and density in the towns of Haryana	Area_Popul	SS
14	Trend in population of towns	Area_Popul	SS
15	Cities/Urban Agglomerations with a Population of 1,00,000 and above	Area_Popul	SS
16	Rural and Urban Workers and non-workers by districts	Area_Popul	SS
17	Number and percentage distribution of workers (Main + Marginal) by Broad industrial Categories	Area_Popul	SS
18	Working population (Main + Marginal) classified into Broad industrial categories	Area_Popul	SS
19	Age distribution of Urban and Rural population in Haryana	Area_Popul	SS
20	Population by Religion in Haryana	Area_Popul	SS
21	District-wise distribution of population by Languages	Area_Popul	SS
22	Scheduled Castes by districts	Area_Popul	SS
23	Scheduled Castes working population classified into Broad Industrial categories	Area_Popul	SS
24	Literacy in Haryana by districts	Area_Popul	SS
25	Literacy among Scheduled Castes in Haryana	Area_Popul	SS
